,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 072T,8/17/2021,18691,10-14, 20.60 
2,KDB 072T,8/16/2021,18863,10-14, 20.40 
3,KDB 072T,8/17/2021,18664,10-14, 20.68 
4,KDB 072T,8/16/2021,18823,14-20, 21.06 
5,KDB 072T,8/17/2021,18853,10-14, 21.10 
6,KDB 072T,8/17/2021,18961,0-40, 24.50 
7,KDB 072T,8/17/2021,18985,0-40, 25.98 
8,KDB 204L,8/17/2021,19008,0-40, 24.36 
9,KDB 204L,8/17/2021,18905,0-3, 27.68 
10,KDB 204L,8/17/2021,18930,0-3, 25.42 
11,KBQ 469P,8/17/2021,18964,0-40, 18.76 
12,KBQ 469P,8/17/2021,18922,0-40, 19.08 
13,KDB 072T,8/17/2021,18975,0-40, 23.24 
14,KDB 072T,8/17/2021,19001,0-40, 23.14 
15,KDB 072T,8/17/2021,18939,0-40, 23.00 
16,KDB 072T,8/17/2021,18907,0-3, 22.96 
17,KDB 293W,8/17/2021,18909,0-3, 20.90 
18,KDB 293W,8/17/2021,18933,0-3, 20.40 
19,KDB 293W,8/17/2021,18965,0-40, 21.60 
20,KBY 166H,8/14/2021,18410,3-10, 21.20 
21,KDB 072T,8/18/2021,19072,14-20, 21.68 
22,KDB 072T,8/17/2021,19044,14-20, 21.94 
23,KDB 072T,8/16/2021,19081,20-31.5, 20.76 
24,KDB 072T,8/18/2021,19056,14-20, 21.52 
25,KDB 072T,8/17/2021,19033,0-3, 22.10 
