,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 204L,8/16/2021,18857,3-10, 24.30 
2,KDB 204L,8/16/2021,18673,3-10, 24.04 
3,KDB 204L,8/15/2021,18666,3-10, 21.48 
4,KDB 204L,8/16/2021,18691,10-14, 23.30 
5,KDB 072T,8/16/2021,18676,3-10, 22.16 
6,KDB 072T,8/15/2021,18884,10-14, 22.16 
7,KDB 072T,8/15/2021,18671,3-10, 22.34 
8,KDB 072T,8/15/2021,18655,14-20, 20.56 
9,KDB 072T,8/15/2021,18662,3-10, 20.70 
10,KCP 026Z,8/16/2021,18914,14-20, 17.32 
11,KCP 026Z,8/16/2021,18764,14-20, 17.08 
12,KCP 026Z,8/16/2021,18716,0-3, 18.66 
13,KCP 026Z,8/16/2021,18766,14-20, 17.38 
14,KCP 026Z,8/16/2021,18739,14-20, 16.34 
15,KDB 293W,8/16/2021,18604,14-20, 19.86 
16,KAT 901C,8/16/2021,18717,14-20, 18.46 
17,KAT 901C,8/16/2021,18736,14-20, 18.12 
18,KAT 901C,8/16/2021,18763,14-20, 18.24 
19,KAT 901C,8/16/2021,18797,14-20, 18.56 
20,KBR 280S,8/16/2021,18735,14-20, 19.54 
21,KBR 280S,8/16/2021,18715,14-20, 20.36 
22,KBR 280S,8/16/2021,18761,14-20, 19.36 
23,KBR 280S,8/16/2021,18784,14-20, 20.70 
24,KBR 280S,8/16/2021,18607,14-20, 19.46 
25,KDB 072T,8/16/2021,18705,14-20, 19.92 
26,KDB 072T,8/16/2021,18724,14-20, 20.46 
27,KDB 072T,8/16/2021,18754,14-20, 20.66 
28,KDB 072T,8/16/2021,18774,14-20, 20.48 
29,KDB 072T,8/16/2021,18766,14-20, 19.62 
30,KDB 293W,8/16/2021,18761,14-20, 20.48 
31,KDB 293W,8/16/2021,18759,14-20, 19.58 
32,KDB 293W,8/16/2021,18714,14-20, 19.70 
33,KDB 293W,8/16/2021,18734,14-20, 19.64 
34,KDB 204L,8/16/2021,18707,14-20, 22.56 
35,KDB 204L,8/16/2021,18725,14-20, 21.90 
36,KDB 204L,8/16/2021,18747,14-20, 22.46 
37,KDB 204L,8/16/2021,18769,14-20, 22.68 
38,KDB 204L,8/16/2021,18793,14-20, 21.20 
39,KDB 204L,8/16/2021,18812,14-20, 23.42 
40,KCN 957E,8/16/2021,18762,10-14, 20.44 
41,KCN 957E,8/16/2021,18694,10-14, 20.92 
42,KCN 957E,8/14/2021,18530,14-20, 23.08 
43,KCN 957E,8/15/2021,18591,3-10, 25.28 
44,KCN 957E,8/14/2021,18503,14-20, 22.68 
45,KCN 957E,8/15/2021,18559,3-10, 23.74 
46,KCN 957E,8/15/2021,18822,20-31.5, 20.56 
47,KCN 957E,8/15/2021,18633,20-31.5, 20.46 
48,KCN 957E,8/15/2021,18609,0-3, 23.12 
49,KCN 957E,8/15/2021,18642,20-31.5, 21.52 
50,KCN 957E,8/15/2021,18649,20-31.5, 22.80 
51,KCN 957E,8/15/2021,18669,3-10, 21.10 
52,KCN 957E,8/16/2021,18661,10-14, 22.20 
53,KCP 026Z,8/14/2021,18477,14-20, 18.52 
54,KCP 026Z,8/14/2021,18466,14-20, 17.28 
55,KCP 026Z,8/14/2021,18448,0-3, 17.60 
56,KCP 026Z,8/14/2021,18428,0-3, 19.58 
57,KCW 976E,8/15/2021,18616,0-3, 19.88 
58,KCW 976E,8/15/2021,18825,20-31.5, 17.52 
59,KCW 976E,8/15/2021,18802,0-3, 20.06 
60,KCW 976E,8/16/2021,18716,14-20, 17.78 
