,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 072T,9/17/2021,27170,10-14, 21.64 
2,KDB 072T,9/17/2021,27100,10-14, 22.24 
3,KDB 224N,9/17/2021,27042,14-20, 17.52 
4,KDB 072T,9/17/2021,27132,10-14, 21.70 
5,KDB 224N,9/16/2021,26991,14-20, 20.26 
6,KDB 224N,9/17/2021,27140,10-14, 18.28 
7,KDB 224N,9/17/2021,27167,10-14, 18.56 
8,KDD 106X,9/17/2021,27244,3-10, 19.10 
9,KDD 106X,9/16/2021,27305,3-10, 20.64 
10,KDD 106X,9/17/2021,27114,10-14, 18.26 
11,KDD 106X,9/18/2021,27276,3-10, 20.92 
12,KDD 124X,9/18/2021,27301,3-10, 19.18 
13,KDD 124X,9/18/2021,27274,3-10, 19.14 
14,KCX 069Q,9/18/2021,27277,3-10, 22.98 
15,KCX 069Q,9/17/2021,27182,0-3, 21.66 
16,KCX 069Q,9/17/2021,27078,3-10, 22.02 
17,KCX 069Q,9/17/2021,27145,10-14, 21.98 
18,KCX 069Q,9/17/2021,27245,14-20, 24.34 
19,KCX 069Q,9/17/2021,27102,10-14, 23.20 
20,KDB 062A,9/17/2021,27258,3-10, 22.22 
21,KDB 062A,9/18/2021,27292,3-10, 24.08 
22,KDB 072T,9/17/2021,27225,14-20, 21.24 
23,KDB 072T,9/18/2021,27284,3-10, 21.90 
24,KDB 072T,9/17/2021,27257,3-10, 21.44 
25,KBZ 917G,9/17/2021,27287,3-10, 19.50 
26,KBZ 917G,9/17/2021,27254,3-10, 19.30 
27,KBZ 917G,9/17/2021,27120,10-14, 18.38 
28,KCH 688T,9/17/2021,27282,3-10, 19.58 
29,KCH 688T,9/17/2021,27110,10-14, 17.66 
30,KCH 688T,9/17/2021,27175,10-14, 19.98 
31,KCH 688T,9/17/2021,27142,10-14, 18.80 
32,KCH 688T,9/17/2021,27230,14-20, 17.70 
33,KCH 688T,9/18/2021,27295,3-10, 17.06 
34,KDD 098W,9/18/2021,27298,3-10, 20.48 
35,KDD 098W,9/17/2021,27260,3-10, 20.00 
36,KDD 098W,9/17/2021,27228,14-20, 19.80 
37,KBR 280S,9/17/2021,27296,14-20, 19.16 
38,KBR 280S,9/17/2021,27271,3-10, 20.18 
39,KBR 280S,9/17/2021,27302,3-10, 19.84 
40,KDB 293W,9/18/2021,27306,3-10, 22.46 
41,KDB 293W,9/17/2021,27243,3-10, 20.80 
42,KDB 293W,9/17/2021,27273,3-10, 21.36 
43,KCY 318N,9/17/2021,27281,3-10, 18.42 
44,KAT 901C,9/17/2021,27206,0-3, 21.42 
45,KDD 098W,9/17/2021,27147,10-14, 18.24 
46,KDD 098W,9/17/2021,27184,0-3, 18.76 
47,KCC 307C,9/16/2021,28903,0-40, 22.24 
48,KCC 307C,9/17/2021,27160,10-14, 18.72 
49,KCC 307C,9/17/2021,27118,10-14, 19.32 
50,KCC 307C,9/17/2021,27201,0-3, 22.56 
51,KCY 318N,9/17/2021,27171,10-14, 18.18 
52,KCY 318N,9/17/2021,27116,10-14, 18.42 
53,KCY 318N,9/17/2021,27203,0-3, 22.02 
54,KDB 293W,9/17/2021,27205,0-3, 24.40 
55,KDB 293W,9/17/2021,27172,10-14, 21.12 
56,KCJ 351X,9/17/2021,27174,10-14, 18.44 
57,KCJ 351X,9/17/2021,27119,10-14, 17.62 
58,KDD 103R,9/17/2021,27179,0-3, 17.62 
59,KDD 103R,9/17/2021,27143,10-14, 18.08 
60,KDD 103R,9/17/2021,27112,10-14, 19.66 
61,KBR 280S,9/17/2021,27166,10-14, 18.36 
62,KBR 280S,9/17/2021,27195,0-3, 21.88 
63,KBR 280S,9/17/2021,27128,10-14, 17.66 
64,KDB 204L,9/17/2021,27099,10-14, 21.46 
65,KDB 204L,9/17/2021,27131,10-14, 23.56 
66,KDB 204L,9/17/2021,27162,10-14, 24.18 
67,KDB 204L,9/17/2021,27197,0-3, 27.00 
