,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 072T,8/14/2021,18406,3-10, 19.42 
2,KDB 072T,8/13/2021,18377,2-31.5, 24.52 
3,KDB 072T,8/13/2021,18386,20-31.5, 20.98 
4,KDB 072T,8/14/2021,18399,3-10, 21.76 
5,KDB 072T,8/14/2021,18398,20-31.5, 21.58 
6,KCC 255V,8/12/2021,18237,14-20, 20.30 
7,KCE 280G,8/14/2021,18392,20-31.5, 23.84 
8,KCE 280G,8/13/2021,18287,10-14, 21.96 
9,KCE 280G,8/14/2021,18400,3-10, 22.94 
10,KCE 280G,8/13/2021,18382,20-31.5, 25.34 
11,KBY 166H,8/13/2021,18361,10-14, 21.64 
12,KBY 166H,8/13/2021,18335,10-14, 21.90 
13,KBY 166H,8/13/2021,18286,10-14, 21.54 
14,KBY 166H,8/13/2021,18374,20-31.5, 22.00 
15,KBQ 360C,8/8/2021,17209,0-40, 15.12 
16,KBR 280S,8/13/2021,18346,10-14, 20.54 
17,KBR 280S,8/13/2021,18309,10-14, 19.70 
18,KBR 280S,8/13/2021,18280,10-14, 19.16 
19,KBR 280S,8/13/2021,18267,0-3, 22.54 
20,KBR 280S,8/13/2021,18327,10-14, 20.92 
21,KBR 280S,8/13/2021,18204,10-14, 19.92 
22,KDB 072T,8/13/2021,18343,10-14, 21.42 
23,KDB 072T,8/13/2021,18323,10-14, 19.44 
24,KDB 072T,8/13/2021,18300,10-14, 21.26 
25,KDB 072T,8/13/2021,18271,0-3, 24.06 
26,KDB 072T,8/13/2021,18261,10-14, 20.78 
27,KDB 204L,8/13/2021,18318,10-14, 22.78 
28,KDB 204L,8/13/2021,18340,10-14, 23.36 
29,KDB 204L,8/13/2021,18260,10-14, 23.70 
30,KDB 204L,8/13/2021,18272,0-3, 26.82 
31,KDB 293W,8/13/2021,18286,10-14, 20.84 
32,KDB 293W,8/13/2021,18304,10-14, 21.00 
33,KDB 293W,8/12/2021,18150,10-14, 21.04 
34,KDB 293W,8/12/2021,18094,0-3, 20.14 
35,KDB 293W,8/12/2021,18116,10-14, 21.16 
36,KDB 293W,8/12/2021,18177,10-14, 20.36 
37,KDB 293W,8/13/2021,18277,10-14, 20.50 
38,KDC 005L,8/13/2021,18328,10-14, 30.48 
39,KDC 005L,8/13/2021,18356,10-14, 22.84 
40,KDC 005L,8/13/2021,18297,10-14, 29.60 
41,KDB 293W,8/12/2021,18072,14-20, 21.02 
42,KDB 293W,8/12/2021,18079,5-10, 20.76 
43,KDB 293W,8/12/2021,18085,5-10, 20.94 
44,KDB 293W,8/11/2021,18050,14-20, 21.36 
45,KDB 293W,8/11/2021,18061,0-3, 22.52 
46,KDB 293W,8/12/2021,18090,5-10, 26.60 
47,KDC 006T,8/13/2021,18305,10-14, 31.00 
48,KDC 006T,8/13/2021,18368,10-14, 28.48 
49,KDC 006T,8/13/2021,18834,10-14, 28.20 
50,KDC 006T,8/13/2021,18279,0-3, 29.80 
51,KAT 901C,8/13/2021,18867,10-14, 19.18 
52,KAT 901C,8/13/2021,18346,10-14, 19.20 
53,KBQ 469P,8/13/2021,18369,10-14, 19.68 
54,KBQ 469P,8/13/2021,18326,10-14, 18.14 
55,KBQ 469P,8/13/2021,18296,10-14, 18.30 
56,KBQ 469P,8/13/2021,18355,10-14, 18.12 
57,KBQ 469P,8/13/2021,18282,10-14, 17.98 
