,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KCA 398J,8/14/2021,18480,14-20, 29.64 
2,KCA 398J,8/15/2021,18619,0-3, 32.36 
3,KCA 398J,8/15/2021,18599,3-10, 39.36 
4,KCA 398J,8/15/2021,18578,3-10, 39.44 
5,KCA 398J,8/14/2021,18535,14-20, 30.98 
6,KDB 293W,8/15/2021,18626,20-31.5, 21.48 
7,KDB 293W,8/15/2021,18645,20-31.5, 20.26 
8,KDB 293W,8/15/2021,18637,20-31.5, 20.14 
9,KDC 005L,8/15/2021,18820,0-3, 32.08 
10,KDC 005L,8/14/2021,18492,14-20, 30.02 
11,KDC 005L,8/14/2021,18524,14-20, 22.12 
12,KDC 005L,8/15/2021,18603,0-3, 37.30 
13,KCE 250G,8/15/2021,18649,20-31.5, 26.64 
14,KCE 250G,8/15/2021,18572,3-10, 26.26 
15,KCE 250G,8/15/2021,18641,20-31.5, 25.00 
16,KCE 250G,8/14/2021,18541,3-10, 27.46 
17,KCE 250G,8/14/2021,18514,14-20, 25.42 
18,KCY 318N,8/14/2021,18508,14-20, 19.92 
