,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDD 103R,9/14/2021,28167,0-40, 23.64 
2,KCX 069Q,9/14/2021,28098,0-40, 31.26 
3,KDB 293W,9/14/2021,28195,0-3, 19.88 
4,KDB 293W,9/14/2021,28230,0-40, 21.12 
5,KDD 124X,9/15/2021,28472,14-20, 18.34 
6,KDD 124X,9/15/2021,28432,3-10, 17.82 
7,KDD 124X,9/15/2021,28496,14-20, 20.66 
8,KDD 124X,9/15/2021,28399,3-10, 17.58 
9,KDD 124X,9/14/2021,28207,0-3, 19.86 
10,KDD 106X,9/14/2021,28431,3-10, 18.64 
11,KDD 106X,9/14/2021,28397,3-10, 17.96 
12,KDD 106X,9/14/2021,28499,14-20, 20.68 
13,KDD 106X,9/15/2021,28475,14-20, 20.84 
14,KCY 318N,9/14/2021,28388,3-10, 17.88 
15,KCY 318N,9/15/2021,28418,3-10, 19.02 
16,KCY 318N,9/15/2021,28486,14-10, 18.06 
17,KCY 318N,9/15/2021,28451,3-10, 18.44 
18,KCY 318N,9/15/2021,28508,14-20, 21.04 
19,KDB 293W,9/15/2021,28442,3-10, 20.48 
20,KDB 293W,9/14/2021,28405,3-10, 21.06 
21,KDB 293W,9/15/2021,28487,14-20, 20.88 
22,KDB 293W,9/14/2021,28378,3-10, 21.00 
23,KDB 293W,9/15/2021,28497,14-20, 21.62 
24,KBZ 917G,9/15/2021,28438,3-10, 16.74 
25,KBZ 917G,9/15/2021,28489,14-20, 19.46 
26,KDB 231N,9/15/2021,28494,14-20, 22.66 
27,KDB 231N,9/15/2021,28465,3-10, 21.90 
28,KDB 231N,9/15/2021,28435,3-10, 21.68 
29,KDB 231N,9/14/2021,28366,3-10, 20.92 
30,KDB 231N,9/14/2021,28396,3-10, 21.64 
31,KDD 103R,9/15/2021,28421,3-10, 17.84 
32,KDD 103R,9/15/2021,28509,14-20, 19.26 
33,KDD 103R,9/15/2021,28491,14-20, 17.24 
34,KDD 103R,9/15/2021,28458,3-10, 19.50 
35,KAT 901C,9/15/2021,28488,14-20, 20.20 
36,KAT 901C,9/15/2021,28430,3-10, 18.12 
37,KAT 901C,9/14/2021,28385,3-10, 17.88 
38,KAT 901C,9/14/2021,28380,3-10, 18.86 
39,KAT 901C,9/14/2021,28341,3-10, 19.22 
40,KAT 901C,9/15/2021,28498,14-20, 19.84 
41,KCJ 351X,9/15/2021,28481,14-20, 16.82 
42,KCJ 351X,9/15/2021,28441,3-10, 17.06 
43,KCJ 351X,9/14/2021,28398,3-10, 17.32 
44,KCJ 351X,9/14/2021,28382,3-10, 16.34 
45,KDD 098W,9/15/2021,28436,3-10, 18.22 
46,KDD 098W,9/14/2021,28401,3-10, 17.64 
47,KDD 098W,9/15/2021,28471,14-20, 18.38 
48,KDD 098W,9/14/2021,28371,0-3, 20.24 
49,KDD 098W,9/14/2021,28344,3-10, 17.54 
50,KDB 206W,9/15/2021,28473,14-20, 22.48 
51,KDB 206W,9/15/2021,28428,3-10, 21.00 
52,KDB 206W,9/14/2021,28391,3-10, 18.34 
53,KCJ 351X,9/14/2021,28332,3-10, 17.06 
54,KCC 307C,9/14/2021,28248,10-14, 16.96 
55,KCC 307C,9/14/2021,28205,0-3, 20.70 
56,KCC 307C,9/14/2021,28326,3-10, 21.66 
57,KCC 307C,9/14/2021,28278,10-14, 17.86 
58,KCJ 351X,9/14/2021,28295,10-14, 16.36 
59,KDD 098W,9/14/2021,28203,0-3, 19.08 
60,KAT 901C,9/14/2021,28303,10-14, 18.66 
61,KAT 901C,9/14/2021,28289,10-14, 18.58 
62,KAT 901C,9/14/2021,28229,0-40, 20.70 
63,KDD 098W,9/14/2021,28310,10-14, 15.98 
