,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 062A,9/16/2021,26925,0-40, 21.62 
2,KDB 062A,9/16/2021,26690,3-10, 22.52 
3,KBV 544S,9/16/2021,26678,3-10, 15.60 
4,KBV 544S,9/16/2021,26683,0-3, 20.90 
5,KDB 062A,9/16/2021,26619,0-3, 22.38 
6,KDB 231N,9/16/2021,26621,0-3, 27.16 
7,KDD 103R,9/16/2021,26990,14-20, 19.64 
8,KDD 103R,9/17/2021,27066,20-31.5, 18.40 
9,KDD 103R,9/17/2021,27039,14-20, 17.16 
10,KAT 901C,9/17/2021,27021,14-20, 19.42 
11,KAT 901C,9/16/2021,26994,14-20, 17.48 
12,KAT 901C,9/17/2021,27055,14-20, 20.26 
13,KAT 901C,9/16/2021,26961,0-3, 22.02 
14,KBN 564V,9/16/2021,26657,0-40, 18.64 
15,KAT 901C,9/16/2021,26658,0-40, 21.30 
16,KDB 062A,9/17/2021,27044,14-20, 21.20 
17,KDB 062A,9/16/2021,27006,14-20, 21.48 
18,KDC 084C,9/16/2021,26984,14-20, 18.48 
19,KDC 084C,9/16/2021,27011,14-20, 17.28 
20,KDC 084C,9/17/2021,27045,14-20, 19.58 
21,KDC 084C,9/17/2021,27075,3-10, 17.22 
22,KBZ 917G,9/16/2021,26960,0-3, 18.62 
23,KBZ 917G,9/17/2021,27052,14-20, 19.62 
24,KBZ 917G,9/17/2021,27017,0-40, 16.44 
25,KDD 124X,9/17/2021,27020,14-20, 18.64 
26,KDD 124X,9/17/2021,27051,14-20, 19.58 
27,KDD 124X,9/16/2021,26968,14-20, 19.82 
28,KDD 124X,9/15/2021,26535,0-3, 23.34 
29,KBR 280S,9/17/2021,27050,14-20, 20.40 
30,KBR 280S,9/17/2021,27016,0-40, 19.34 
31,KBR 280S,9/16/2021,26997,14-20, 20.02 
32,KBR 280S,9/16/2021,26969,14-20, 19.40 
33,KDB 293W,9/16/2021,26996,14-20, 20.30 
34,KDB 293W,9/17/2021,27040,14-20, 20.08 
35,KCY 318N,9/17/2021,27059,20-31.5, 19.72 
36,KCY 318N,9/17/2021,27024,14-20, 18.76 
37,KCY 318N,9/16/2021,26980,14-20, 18.72 
38,KCY 318N,9/16/2021,27007,14-20, 19.88 
39,KDD 098W,9/17/2021,27080,20-31.5, 19.56 
40,KDD 098W,9/16/2021,26975,14-20, 18.88 
41,KDD 098W,9/16/2021,27004,14-20, 18.32 
42,KDD 098W,9/17/2021,27028,14-20, 19.64 
43,KDB 072T,9/16/2021,27062,20-31.5, 21.38 
44,KDB 072T,9/16/2021,26986,14-20, 20.18 
45,KDB 072T,9/16/2021,27037,14-20, 20.68 
46,KDD 106X,9/17/2021,27029,14-20, 18.04 
47,KDD 106X,9/16/2021,26974,14-20, 19.96 
48,KDD 106X,9/16/2021,27005,14-20, 18.20 
49,KDD 106X,9/17/2021,27085,20-31.5, 19.34 
50,KCX 069Q,9/16/2021,26989,14-20, 24.44 
51,KCX 069Q,9/17/2021,27026,14-20, 22.74 
52,KBQ 489P,9/15/2021,26546,0-40, 20.94 
53,KBQ 489P,9/15/2021,26686,20-31.5, 17.96 
54,KBQ 489P,9/15/2021,26833,0-40, 18.35 
55,KBQ 489P,9/16/2021,26855,0-40, 18.56 
56,KBQ 489P,9/16/2021,26902,0-40, 18.90 
57,KDC 084C,9/16/2021,26949,0-40, 16.78 
58,KBZ 917G,9/16/2021,26823,0-3, 19.50 
59,KCC 307C,9/15/2021,26649,0-40, 19.60 
60,KBZ 917G,9/16/2021,26934,0-40, 18.34 
61,KCH 688T,9/16/2021,26932,0-40, 17.62 
62,KDD 098W,9/16/2021,26942,0-40, 17.88 
63,KDD 098W,9/15/2021,26670,20-31.5, 17.30 
64,KDD 098W,9/15/2021,26519,0-3, 19.62 
65,KDD 098W,9/15/2021,26648,0-40, 17.26 
66,KDD 098W,9/15/2021,26554,0-40, 18.30 
67,KCX 069Q,9/16/2021,26927,0-40, 22.52 
68,KDB 072T,9/16/2021,26940,0-40, 22.70 
69,KDB 072T,9/16/2021,26904,0-40, 21.56 
70,KDB 072T,9/16/2021,26858,3-10, 22.88 
71,KDB 072T,9/16/2021,26628,0-3, 25.80 
