,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 293W,8/14/2021,18465,14-20, 20.38 
2,KBR 280S,8/14/2021,18510,14-20, 19.78 
3,KBR 280S,8/15/2021,18577,3-10, 21.42 
4,KBR 280S,8/14/2021,18532,14-20, 19.64 
5,KBR 280S,8/15/2021,18555,3-10, 18.58 
6,KDB 204L,8/15/2021,18596,3-10, 25.42 
7,KDB 204L,8/15/2021,18574,3-10, 19.76 
8,KDB 204L,8/14/2021,18536,14-20, 22.50 
9,KDB 072T,8/15/2021,18556,3-10, 17.20 
10,KDB 072T,8/14/2021,18518,14-20, 20.90 
11,KDB 072T,8/15/2021,18594,3-10, 24.66 
12,KDB 072T,8/15/2021,18580,3-10, 21.40 
13,KDB 072T,8/14/2021,18423,0-3, 24.30 
14,KDB 072T,8/14/2021,18443,0-3, 22.48 
15,KDB 072T,8/14/2021,18461,14-20, 20.96 
16,KAT 901C,8/14/2021,18491,14-20, 20.74 
17,KAT 901C,8/14/2021,18424,0-3, 19.90 
18,KAT 901C,8/14/2021,18457,14-20, 17.82 
19,KAT 901C,8/14/2021,18472,14-20, 18.46 
20,KAT 901C,8/14/2021,18500,14-20, 18.64 
21,KCW 976E,8/14/2021,18496,14-20, 18.56 
22,KBQ 469P,8/14/2021,18449,0-3, 19.50 
23,KBQ 469P,8/14/2021,18431,0-3, 18.12 
24,KDC 005L,8/14/2021,18464,0-3, 35.74 
25,KDC 005L,8/14/2021,18433,0-3, 30.90 
26,KCY 318N,8/14/2021,18483,14-20, 15.28 
27,KBR 280S,8/14/2021,18466,14-20, 19.04 
28,KBR 280S,8/14/2021,18482,14-20, 20.04 
29,KBR 280S,8/14/2021,18447,0-3, 20.60 
30,KBR 280S,8/14/2021,18412,0-3, 21.52 
31,KBR 280S,8/14/2021,18429,0-3, 21.72 
32,KCW 976E,8/14/2021,18434,0-3, 20.38 
33,KCW 976E,8/14/2021,18471,14=20, 18.52 
34,KCW 976E,8/14/2021,18490,14-20, 18.20 
35,KCW 976E,8/14/2021,18454,0-3, 20.70 
36,KCW 976E,8/14/2021,18415,0-3, 21.60 
